Wavenumber,Lp,Lambda,A,B,x_A,x_B,Offset,Slope
1450,1.9457,0.5945,0.0912,0.0048,-0.0654,-0.151,1.0129,0.012
1461,1.8887,0.4809,0.0741,0.0112,0.6736,0.6491,0.998,-0.01
1463,1.4715,0.4652,0.0973,0.0043,0.8861,-1.1858,0.9634,0.0161
1465,1.4112,0.4504,0.0866,0.0087,0.6311,0.1396,0.9658,0.0254
1466.5,1.5866,0.4425,0.069,0.0041,0.3899,1.4135,0.989,0.0266
1467,1.5405,0.4414,0.0838,0.0062,-0.0501,0.66,0.9809,0.0244
1467.5,1,0.4387,0.0888,0.0233,0.6169,0.6296,0.9775,0
1468,1.1949,0.4306,0.0925,0.014,0.6103,0.5995,0.9874,0
1468.5,1.2169,0.4367,0.0895,0.0232,0.5958,1.0698,0.9713,0.0143
1469,1.3898,0.4244,0.0801,0.0057,0.5956,-0.5821,0.9936,2.30E-04
1469.5,1.161,0.4238,0.0919,0.0165,0.5877,0.1929,0.984,0
1470,1.4498,0.4235,0.0824,0.0186,0.3755,1.0425,0.976,0
1470.5,1.8091,0.4151,0.0649,0.0022,-0.0368,0.6276,0.9786,0.0317
1471,1.3696,0.4124,0.0807,0.0051,0.3721,0.6403,0.9784,0.0411
1471.5,1.4276,0.4097,0.0811,0.012,0.5793,3.4721,0.9782,0
1472,1.4892,0.416,0.086,0.0045,0.579,0.2576,0.9922,0.0233
1472.5,1.2918,0.4153,0.0831,0.022,0.3614,0.5949,0.9937,0
1473,5,0.4097,0.069,0.0131,0.568,1.0204,1.0106,0
1473.5,1.5972,0.402,0.0719,0.0064,0.3652,4.6612,0.9969,0.0052
1474,1.1343,0.3969,0.0797,0.0037,0.159,0.9451,0.9713,0.0057
1475,1.6097,0.3912,0.0977,0.011,0.5487,0.5677,0.9938,0
1475.5,1.6345,0.3886,0.0651,0.0113,0.1587,0.1344,0.9923,0.03
1476,1.5726,0.3882,0.0794,0.0018,0.5424,0.1446,0.9842,0.0093
1476.5,1.7114,0.3986,0.0755,0.0152,0.3501,0.5906,1.0066,0
1477,1.7596,0.3751,0.0688,0.0071,0.5338,0.8368,0.9654,0
1477.5,2.3737,0.3884,0.0713,0.0106,0.3431,0.583,1.0044,2.22E-04
1478,1.8028,0.3755,0.0719,0.0053,0.5329,0.5698,0.9598,0.0681
1478.5,0.8242,0.3841,0.1358,0.0257,0.5289,0.585,0.9694,0
1479,1.9184,0.3726,0.0681,0.0088,-2.2729,0.9107,0.9909,-0.0013
1479.5,4.9869,0.366,0.05,0.0041,0.8857,0.5405,0.9945,0
1480,1.868,0.3626,0.0683,0.0049,0.8745,0.9606,0.962,0.0221
1481,2.0727,0.3593,0.0704,0.0047,0.1538,0.183,0.9721,0.0157
1482,2.4472,0.3567,0.0562,0.0044,-8.2366,3.7536,0.9379,0.0469
1483,1.3951,0.3568,0.0743,0.0186,0.6725,0.1639,0.9575,0.0332
1484,2.1596,0.346,0.0569,0.008,0.8345,0.8542,0.9719,0.0253
